         title         
-----------------------
 ACADEMY DINOSAUR
 AGENT TRUMAN
 ALABAMA DEVIL
 AMERICAN CIRCUS
 ARABIA DOGMA
 ARTIST COLDBLOODED
 BOONDOCK BALLROOM
 FICTION CHRISTMAS
 GORGEOUS BINGO
 GREEDY ROOTS
 HANOVER GALAXY
 KING EVOLUTION
 LADYBUGS ARMAGEDDON
 LESSON CLEOPATRA
 LORD ARIZONA
 MASK PEACH
 MASSAGE IMAGE
 MEET CHOCOLATE
 MUMMY CREATURES
 OLEANDER CLUE
 OZ LIAISONS
 PAJAMA JAWBREAKER
 PERSONAL LADYBUGS
 POLISH BROOKLYN
 POTTER CONNECTICUT
 PULP BEVERLY
 RIVER OUTLAW
 ROOTS REMEMBER
 SAINTS BRIDE
 SHAKESPEARE SADDLE
 SNATCHERS MONTEZUMA
 SUBMARINE BED
 THIEF PELICAN
 TITANIC BOONDOCK
 TOMATOES HELLFIGHTERS
 UNBREAKABLE KARATE
 WEDDING APOLLO
 WIZARD COLDBLOODED
(38 rows)

