        title         
----------------------
 AIRPORT POLLOCK
 ALI FOREVER
 ALONE TRIP
 AMADEUS HOLY
 AMERICAN CIRCUS
 ATLANTIS CAUSE
 BIRDS PERDITION
 BOWFINGER GABLES
 BRANNIGAN SUNRISE
 BROTHERHOOD BLANKET
 CAMPUS REMEMBER
 CASPER DRAGONFLY
 CHICAGO NORTH
 CHICKEN HELLFIGHTERS
 CLOCKWORK PARADISE
 CONFESSIONS MAGUIRE
 CONFUSED CANDLES
 CONNECTICUT TRAMP
 CROWDS TELEMARK
 CRUELTY UNFORGIVEN
 DAY UNFAITHFUL
 DORADO NOTTING
 EARTH VISION
 EVOLUTION ALTER
 EXORCIST STING
 FLATLINERS KILLER
 FROGMEN BREAKING
 GAMES BOWFINGER
 GIANT TROOPERS
 GLADIATOR WESTWARD
 GREASE YOUTH
 GUNFIGHT MOON
 HARDLY ROBBERS
 HAROLD FRENCH
 HAUNTED ANTITRUST
 HIGH ENCINO
 ISHTAR ROCKETEER
 KILL BROTHERHOOD
 LANGUAGE COWBOY
 LORD ARIZONA
 OUTBREAK DIVINE
 PANTHER REDS
 PRIMARY GLASS
 PRIX UNDEFEATED
 SCISSORHANDS SLUMS
 SMOOCHY CONTROL
 SPINAL ROCKY
 STONE FIRE
 TOWERS HURRICANE
 TREASURE COMMAND
 WONDERFUL DROP
(51 rows)

