 actor_id | first_name  |  last_name   | film_id |            title            | rank | revenue 
----------+-------------+--------------+---------+-----------------------------+------+---------
        1 | PENELOPE    | GUINESS      |     361 | GLEAMING JAWBREAKER         |    1 |  136.70
        1 | PENELOPE    | GUINESS      |      25 | ANGELS LIFE                 |    2 |  119.78
        1 | PENELOPE    | GUINESS      |     506 | LADY STAGE                  |    3 |  118.83
        2 | NICK        | WAHLBERG     |     369 | GOODFELLAS SALUTE           |    1 |  209.69
        2 | NICK        | WAHLBERG     |      31 | APACHE DIVINE               |    2 |  178.69
        2 | NICK        | WAHLBERG     |     518 | LIAISONS SWEET              |    3 |  131.78
        3 | ED          | CHASE        |     971 | WHALE BIKINI                |    1 |  134.82
        3 | ED          | CHASE        |     827 | SPICE SORORITY              |    2 |  115.80
        3 | ED          | CHASE        |     336 | FRENCH HOLIDAY              |    3 |  102.83
        4 | JENNIFER    | DAVIS        |      25 | ANGELS LIFE                 |    1 |  119.78
        4 | JENNIFER    | DAVIS        |     691 | POSEIDON FOREVER            |    2 |  100.83
        4 | JENNIFER    | DAVIS        |     398 | HANOVER GALAXY              |    3 |   98.83
        5 | JOHNNY      | LOLLOBRIGIDA |     369 | GOODFELLAS SALUTE           |    1 |  209.69
        5 | JOHNNY      | LOLLOBRIGIDA |     865 | SUNRISE LEAGUE              |    2 |  170.76
        5 | JOHNNY      | LOLLOBRIGIDA |     172 | CONEHEADS SMOOCHY           |    3 |  136.75
        6 | BETTE       | NICHOLSON    |     892 | TITANIC BOONDOCK            |    1 |  154.77
        6 | BETTE       | NICHOLSON    |     902 | TRADING PINOCCHIO           |    2 |  147.75
        6 | BETTE       | NICHOLSON    |     112 | CALENDAR GUNFIGHT           |    3 |  141.79
        7 | GRACE       | MOSTEL       |     846 | STING PERSONAL              |    1 |  159.79
        7 | GRACE       | MOSTEL       |     805 | SLEEPLESS MONSOON           |    2 |  121.80
        7 | GRACE       | MOSTEL       |      25 | ANGELS LIFE                 |    3 |  119.78
        8 | MATTHEW     | JOHANSSON    |     771 | SCORPION APOLLO             |    1 |  168.77
        8 | MATTHEW     | JOHANSSON    |     263 | DURHAM PANKY                |    2 |  144.74
        8 | MATTHEW     | JOHANSSON    |     255 | DRIVING POLISH              |    3 |  115.79
        9 | JOE         | SWANK        |     865 | SUNRISE LEAGUE              |    1 |  170.76
        9 | JOE         | SWANK        |     964 | WATERFRONT DELIVERANCE      |    2 |  121.83
