         title          |                                                                                       actors                                                                                        
------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 AFFAIR PREJUDICE       | JodieDegeneres, OprahKilmer, ScarlettDamon, KennethPesci, FayWinslet
 ANNIE IDENTITY         | CateMcqueen, GretaKeitel, AdamGrant
 BREAKFAST GOLDFINGER   | RussellTemple, JuliaZellweger, MichaelBolger, AlGarland, AngelinaAstaire
 BUTTERFLY CHOCOLAT     | BurtTemple, NickStallone, MenaTemple, KimAllen, LisaMonroe, EdGuiness, MaryKeitel
 CASABLANCA SUPER       | AngelaWitherspoon, KirstenAkroyd, WalterTorn, ReeseWest
 CITIZEN SHREK          | KevinBloom, IanTandy, BenHarris, RussellTemple, KennethTorn, CaryMcconaughey, JudeCruise, GaryPhoenix
 COLDBLOODED DARLING    | BenWillis, GinaDegeneres, BetteNicholson, LucilleTracy
 COLOR PHILADELPHIA     | SalmaNolte, DarylCrawford, ChristopherWest, OlympiaPfeiffer, JohnSuvari, PenelopeGuiness, GrouchoDunst
 CONNECTION MICROCOSMOS | NatalieHopkins, RussellTemple, VivienBasinger, FayWinslet, ReneeTracy, ScarlettDamon, CameronStreep
 CRUELTY UNFORGIVEN     | WillWilson, GregChaplin
 DARN FORRESTER         | RalphCruz, SandraKilmer, BobFawcett, MenaHopper, CateMcqueen, ChrisBridges, SeanGuiness, CharlizeDench, JodieDegeneres
 DRACULA CRYSTAL        | NickWahlberg, JodieDegeneres, CarmenHunt, CameronWray, MichelleMcconaughey, SeanWilliams, BenWillis, GregChaplin, MorganHopkins, DarylCrawford, MorganWilliams, IanTandy, ReeseWest
 GRAPES FURY            | LucilleDee, MaryTandy, HenryBerry, CarmenHunt, BurtTemple
 HAPPINESS UNITED       | AdamGrant, NickWahlberg, MerylGibson, CubaAllen, GrouchoDunst
 JUMANJI BLADE          | GaryPhoenix, JimMostel, JenniferDavis, BobFawcett, NickStallone, MenaTemple
 LAWLESS VISION         | MichaelBolger, PenelopePinkett, BobFawcett, JoeSwank
 LOVER TRUMAN           | VivienBergen, ChristianNeeson, LisaMonroe, MenaHopper, MillaKeitel, ThoraTemple, ReeseKilmer
 MEET CHOCOLATE         | GrouchoWilliams, WarrenNolte, ParkerGoldberg, TimHackman, ZeroCage, WarrenJackman
 MOONWALKER FOOL        | RayJohansson, WoodyHoffman, UmaWood, ZeroCage, MaryKeitel, HumphreyGarland, DarylCrawford
 NOVOCAINE FLIGHT       | BenWillis, KarlBerry, MichaelBolger, RussellTemple, WalterTorn, GregChaplin
 SHINING ROSES          | SusanDavis, JuliaBarrymore, HumphreyGarland, CateHarris, WoodyJolie
 SIDE ARK               | AudreyOlivier, ChrisDepp, LaurenceBullock, JayneSilverstone, HelenVoight, JadaRyder
 SWEETHEARTS SUSPECTS   | JayneNolte, JuliaMcqueen, HelenVoight, JoeSwank, BenWillis
 TORQUE BOUND           | NatalieHopkins, AdamHopper, GeneHopkins, KennethHoffman, UmaWood
(24 rows)

